sample_id,lake,basin,block,fish,distance,replicate,d13c,total_c_ug,d15n,total_n_ug,sample_mg,pct_c,pct_n
H2A-05a,H2A,H,2,A,5,a,-26.895617583146915,1426.513185875959,0.17197873439833603,31.203735520981425,2.7381,52.09865183433618,1.139612706657223
H2A-00c,H2A,H,2,A,0,c,-28.163412326849457,1483.8119140245747,-3.578810436141304,31.262375622635385,2.8446,52.16240997063119,1.0990077909947054
H2A-00b,H2A,H,2,A,0,b,-24.80832713879808,1296.0039717056104,-4.434960094705496,28.507183395551866,2.5387,51.04990631841535,1.122904769982742
H2A-00a,H2A,H,2,A,0,a,-27.863187469090267,1465.3811264332126,-2.757885382294631,26.16377561499556,2.7571,53.14936442034067,0.9489599802326925
H2A-50b,H2A,H,2,A,50,b,-25.844408081384834,1397.9096901269863,-5.7650472028629824,30.61737991636218,2.638,52.99126952717917,1.1606285032737749
H2A-50a,H2A,H,2,A,50,a,-26.1313500392648,1535.0748524754122,-4.21339615725925,36.42593789691228,2.9103,52.74627538313618,1.2516214100578045
H3P-50b,H3P,H,3,P,50,b,-27.674229108897922,1312.2826761814106,-3.1968810287912093,26.222344708919533,2.6057,50.36200161881301,1.0063455005917616
K2A-10y,K2A,K,2,A,10,y,-27.57967895522405,1395.8677533981142,-1.2620449229670543,34.07807149144952,2.62,53.277395167866956,1.3006897515820428
K2A-10z,K2A,K,2,A,10,z,-27.57420718583527,1342.8321596113597,-6.80730823959572,25.461010890267712,2.5785,52.07803605240875,0.9874349773227735
K2A-05z,K2A,K,2,A,5,z,-28.106250021910572,1318.3897646025837,-0.6196554143471152,23.470489845145632,2.6462,49.82200002277167,0.8869507159377837
H3A-05c,H3A,H,3,A,5,c,-28.827936908328603,1363.2179837369954,-5.637878357654302,19.784694276600554,2.6327,51.78022500615321,0.7514982442587669
H3A-05a,H3A,H,3,A,5,a,-28.28384738861521,1586.4353001212655,-7.006900482311045,24.641268983591328,3.0597,51.84937412560924,0.8053491840242943
H1P-05a,H1P,H,1,P,5,a,-25.006199860529485,1492.0074315588033,-3.804425071746727,29.444916408507368,2.8592,52.18268856878859,1.0298305962684446
H1P-00b,H1P,H,1,P,0,b,-27.279581989500045,1361.1786992582279,-0.5601071199084684,36.660797196531114,2.6062,52.228482052729184,1.4066762795077552
H1P-02a,H1P,H,1,P,2,a,-26.244040106069182,1496.10612641419,0.7883629673756268,34.13675205099615,2.9068,51.46918007479669,1.1743756725951613
H1P-00a,H1P,H,1,P,0,a,-27.324786257553868,1324.4982571561657,-1.4627971074343784,37.95275948642045,2.5443,52.05747188445411,1.4916778479904278
H1P-00c,H1P,H,1,P,0,c,-27.134588102096682,1283.8014959666657,-5.659964304240666,25.578130087676232,2.5187,50.970798267624794,1.0155290462411655
H3P-05a,H3P,H,3,P,5,a,-28.222782112614215,1322.4619369569261,-3.3095041093001156,28.858808505271806,2.6012,50.84045582642343,1.1094421230690377
H3A-00b,H3A,H,3,A,0,b,-28.076010411200677,1416.2941413488768,-3.2272382622051605,28.389981631015445,2.6774,52.89811538615362,1.060356376746674
H3P-02a,H3P,H,3,P,2,a,-28.16382820844167,1324.4982571561657,-1.9900555369923227,26.808081060079548,2.5842,51.25370548549515,1.0373841444191452
K2A-50y,K2A,K,2,A,50,y,-28.49308440591584,1578.2110758800238,-2.8943317962435224,32.66998576371411,2.9613,53.294535368926624,1.1032312080408642
H3P-02b,H3P,H,3,P,2,b,-27.47628000988432,1273.6370565887923,-8.210172955075013,23.23637364967788,2.529,50.36129128464976,0.9187969019247878
H1P-02b,H1P,H,1,P,2,b,-27.17752440362469,1365.2574242304754,-1.3217710263936746,33.0806283068625,2.5885,52.74318811012075,1.277984481624976
H1P-02c,H1P,H,1,P,2,c,-27.056449785258014,1363.2179837369954,-2.3698218553407937,41.537108749774504,2.6476,51.4888194491991,1.5688589193901836
H1P-10b,H1P,H,1,P,10,b,-26.797489971606893,1449.008813130198,-4.260036244925006,43.47746355757876,2.8022,51.70968571587317,1.5515474826057656
H3P-05b,H3P,H,3,P,5,b,-28.17070557408766,1369.336773261571,-3.349176896784081,23.58755289690718,2.7085,50.5570158117619,0.8708714379511605
H3P-02c,H3P,H,3,P,2,c,-27.48961224296778,1367.297020738667,-3.7277790586524118,34.60622625153522,2.7089,50.474252306791215,1.2775010613730748
K1P-05z,K1P,K,1,P,5,z,-26.789843419824464,1492.0074315588033,-3.4942899998410986,27.56966175444378,2.8127,53.04538100610813,0.9801849381179571
K1P-02z,K1P,K,1,P,2,z,-27.033064988842575,1059.0687763287199,-2.8749894069276,21.597930182136615,2.7178,38.96787020121863,0.7946843101823761
K1P-10z,K1P,K,1,P,10,z,-27.34039249223661,1492.0074315588033,-5.271289587877865,37.776559278895,2.8634,52.106147641223835,1.3192903289409443
H3P-50a,H3P,H,3,P,50,a,-25.64737833904323,1406.0789971895952,-2.469813944268024,28.448582100448018,2.73,51.504725171780045,1.0420726044120154
